Date,Open,High,Low,Close,Adj Close,Volume
2014-08-25,101.790001,102.169998,101.279999,101.540001,93.172791,40270000
2014-08-26,101.419998,101.500000,100.860001,100.889999,92.576363,33152000
2014-08-27,101.019997,102.570000,100.699997,102.129997,93.714172,52369000
2014-08-28,101.589996,102.779999,101.559998,102.250000,93.824310,68460000
2014-08-29,102.860001,102.900002,102.199997,102.500000,94.053680,44595000
2014-09-02,103.059998,103.739998,102.720001,103.300003,94.787781,53564000
2014-09-03,103.099998,103.199997,98.580002,98.940002,90.787048,125421000
2014-09-04,98.849998,100.089996,97.790001,98.120003,90.034622,85718000
2014-09-05,98.800003,99.389999,98.309998,98.970001,90.814583,58457000
2014-09-08,99.300003,99.309998,98.050003,98.360001,90.254837,46356700
2014-09-09,99.080002,103.080002,96.139999,97.989998,89.915321,189846300
2014-09-10,98.010002,101.110001,97.760002,101.000000,92.677299,100869600
2014-09-11,100.410004,101.440002,99.620003,101.430000,93.071877,62353100
2014-09-12,101.209999,102.190002,101.080002,101.660004,93.282913,62626100
2014-09-15,102.809998,103.050003,101.440002,101.629997,93.255379,61316500
2014-09-16,99.800003,101.260002,98.889999,100.860001,92.548836,66908100
2014-09-17,101.269997,101.800003,100.589996,101.580002,93.209496,60926500
2014-09-18,101.930000,102.349998,101.559998,101.790001,93.402184,37299400
2014-09-19,102.290001,102.349998,100.500000,100.959999,92.640594,70902400
2014-09-22,101.800003,102.139999,100.580002,101.059998,92.732346,52788400
2014-09-23,100.599998,102.940002,100.540001,102.639999,94.182167,63402200
2014-09-24,102.160004,102.849998,101.199997,101.750000,93.365494,60171800
2014-09-25,100.510002,100.709999,97.720001,97.870003,89.805222,100092000
2014-09-26,98.529999,100.750000,98.400002,100.750000,92.447876,62370500
2014-09-29,98.650002,100.440002,98.629997,100.110001,91.860641,49766300
2014-09-30,100.809998,101.540001,100.529999,100.750000,92.447876,55264100
2014-10-01,100.589996,100.690002,98.699997,99.180000,91.007271,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,91.667946,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,91.411026,43469600
2014-10-06,99.949997,100.650002,99.419998,99.620003,91.411026,37051200
2014-10-07,99.430000,100.120003,98.730003,98.750000,90.612694,42094200
